evaluation_label,model_id,protection_policy_id,policy_level,evaluation_role,support_n,exceedance_rate,mean_buffer,median_buffer,mean_excess_units,median_excess_units,total_excess_units,mean_shortfall_units,median_shortfall_units,total_shortfall_units,maximum_shortfall,mean_required_capacity,continuous_exceedance_rate
DEVELOPMENT_DECISION_POLICY_SIMULATION,ets_aicc,PI80_POLICY,0.8,scenario,4158.0,0.0937950937950937,99.27320827320828,67.0,105.22775372775372,52.0,437537.0,4.116402116402116,0.0,17116.0,1059.0,719.5942760942761,0.0976430976430976
DEVELOPMENT_DECISION_POLICY_SIMULATION,ets_aicc,PI90_POLICY,0.9,reference,4158.0,0.0442520442520442,132.94853294853294,89.5,136.6885521885522,73.0,568351.0,1.901875901875902,0.0,7908.0,1013.0,753.2696007696007,0.0478595478595478
DEVELOPMENT_DECISION_POLICY_SIMULATION,ets_aicc,PI95_POLICY,0.95,scenario,4158.0,0.0221260221260221,164.84319384319383,111.0,167.68783068783068,95.0,697246.0,1.0064935064935066,0.0,4185.0,971.0,785.1642616642616,0.0238095238095238
DEVELOPMENT_DECISION_POLICY_SIMULATION,lightgbm_global_full_v1,PI80_POLICY,0.8,scenario,4158.0,0.0935545935545935,100.57142857142856,68.0,106.12987012987011,53.0,441288.0,4.585137085137085,0.0,19065.0,1034.0,720.0276575276575,0.1000481000481
DEVELOPMENT_DECISION_POLICY_SIMULATION,lightgbm_global_full_v1,PI90_POLICY,0.9,scenario,4158.0,0.0505050505050505,131.7873977873978,89.0,135.11640211640213,74.0,561814.0,2.355699855699856,0.0,9795.0,991.0,751.2436267436267,0.0531505531505531
DEVELOPMENT_DECISION_POLICY_SIMULATION,lightgbm_global_full_v1,PI95_POLICY,0.95,scenario,4158.0,0.0247715247715247,166.46368446368447,112.0,168.53655603655605,97.0,700775.0,1.0995670995670996,0.0,4572.0,943.0,785.9199134199134,0.0266955266955266
FINAL_LOCKED_EVALUATION,ets_aicc,PI80_POLICY,0.8,scenario,3564.0,0.1091470258136924,100.34399551066218,72.0,96.7996632996633,,344994.0,5.122895622895623,,18258.0,515.0,,0.1136363636363636
FINAL_LOCKED_EVALUATION,ets_aicc,PI90_POLICY,0.9,reference,3564.0,0.0606060606060606,134.9385521885522,97.0,129.08557800224466,,460061.0,2.814253647586981,,10030.0,416.0,,0.06341189674523
FINAL_LOCKED_EVALUATION,ets_aicc,PI95_POLICY,0.95,scenario,3564.0,0.0356341189674523,168.37149270482604,120.5,161.3860830527497,,575180.0,1.681818181818182,,5994.0,410.0,,0.0364758698092031
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,PI80_POLICY,0.8,sensitivity_scenario,3564.0,0.1144781144781144,101.75196408529742,73.0,101.7783389450056,,362738.0,5.549663299663299,,19779.0,431.0,,0.1164421997755331
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,PI90_POLICY,0.9,sensitivity,3564.0,0.0650953984287317,134.43294051627385,96.0,132.10830527497194,,470834.0,3.1986531986531985,,11400.0,424.0,,0.0676206509539842
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,PI95_POLICY,0.95,sensitivity_scenario,3564.0,0.03675645342312,170.22390572390572,122.0,166.63327721661054,,593881.0,1.9326599326599327,,6888.0,417.0,,0.0375982042648709
