evaluation_label,model_id,protection_policy_id,policy_level,evaluation_role,exceedance_rate,mean_buffer,maximum_shortfall,total_excess_units,total_shortfall_units
DEVELOPMENT_DECISION_POLICY_SIMULATION,ets_aicc,PI80_POLICY,0.8,scenario,0.0937950937950937,99.27320827320828,1059.0,437537.0,17116.0
DEVELOPMENT_DECISION_POLICY_SIMULATION,ets_aicc,PI90_POLICY,0.9,reference,0.0442520442520442,132.94853294853294,1013.0,568351.0,7908.0
DEVELOPMENT_DECISION_POLICY_SIMULATION,ets_aicc,PI95_POLICY,0.95,scenario,0.0221260221260221,164.84319384319383,971.0,697246.0,4185.0
DEVELOPMENT_DECISION_POLICY_SIMULATION,lightgbm_global_full_v1,PI80_POLICY,0.8,scenario,0.0935545935545935,100.57142857142856,1034.0,441288.0,19065.0
DEVELOPMENT_DECISION_POLICY_SIMULATION,lightgbm_global_full_v1,PI90_POLICY,0.9,scenario,0.0505050505050505,131.7873977873978,991.0,561814.0,9795.0
DEVELOPMENT_DECISION_POLICY_SIMULATION,lightgbm_global_full_v1,PI95_POLICY,0.95,scenario,0.0247715247715247,166.46368446368447,943.0,700775.0,4572.0
FINAL_LOCKED_EVALUATION,ets_aicc,PI80_POLICY,0.8,scenario,0.1091470258136924,100.34399551066218,515.0,344994.0,18258.0
FINAL_LOCKED_EVALUATION,ets_aicc,PI90_POLICY,0.9,reference,0.0606060606060606,134.9385521885522,416.0,460061.0,10030.0
FINAL_LOCKED_EVALUATION,ets_aicc,PI95_POLICY,0.95,scenario,0.0356341189674523,168.37149270482604,410.0,575180.0,5994.0
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,PI80_POLICY,0.8,sensitivity_scenario,0.1144781144781144,101.75196408529742,431.0,362738.0,19779.0
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,PI90_POLICY,0.9,sensitivity,0.0650953984287317,134.43294051627385,424.0,470834.0,11400.0
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,PI95_POLICY,0.95,sensitivity_scenario,0.03675645342312,170.22390572390572,417.0,593881.0,6888.0
