evaluation_set,model_id,role,metric_family,metric_id,level,value,support_n,series_n,aggregation
DEVELOPMENT,naive,baseline,point,mae,,69.71273339455158,6534,198,micro
DEVELOPMENT,naive,baseline,point,rmse,,116.9663375505438,6534,198,micro
DEVELOPMENT,naive,baseline,point,wape,,0.1179313806994074,6534,198,micro
DEVELOPMENT,naive,baseline,point,mase,,1.068884949935798,6534,198,micro
DEVELOPMENT,seasonal_naive,baseline,point,mae,,83.85139271502908,6534,198,micro
DEVELOPMENT,seasonal_naive,baseline,point,rmse,,147.69593710651506,6534,198,micro
DEVELOPMENT,seasonal_naive,baseline,point,wape,,0.1418494159522436,6534,198,micro
DEVELOPMENT,seasonal_naive,baseline,point,mase,,1.3768956287092615,6534,198,micro
DEVELOPMENT,ets_aicc,primary,point,mae,,62.38029407198871,6534,198,micro
DEVELOPMENT,ets_aicc,primary,point,rmse,,108.56607674606585,6534,198,micro
DEVELOPMENT,ets_aicc,primary,point,wape,,0.1055272666861122,6534,198,micro
DEVELOPMENT,ets_aicc,primary,point,mase,,0.9440191174673698,6534,198,micro
DEVELOPMENT,sarima_aicc,secondary,point,mae,,64.72491684023097,6534,198,micro
DEVELOPMENT,sarima_aicc,secondary,point,rmse,,112.17899341101,6534,198,micro
DEVELOPMENT,sarima_aicc,secondary,point,wape,,0.1094936095163833,6534,198,micro
DEVELOPMENT,sarima_aicc,secondary,point,mase,,1.012453872815391,6534,198,micro
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,point,mae,,63.05053663157068,6534,198,micro
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,point,rmse,,108.75710624940182,6534,198,micro
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,point,wape,,0.1066611001567875,6534,198,micro
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,point,mase,,0.966075799859857,6534,198,micro
FINAL_LOCKED_EVALUATION,naive,baseline,point,mae,,71.69949494949495,3564,198,micro
FINAL_LOCKED_EVALUATION,naive,baseline,point,rmse,,119.12716728996786,3564,198,micro
FINAL_LOCKED_EVALUATION,naive,baseline,point,wape,,0.1068545529129435,3564,198,micro
FINAL_LOCKED_EVALUATION,naive,baseline,point,mase,,1.1212568834621106,3564,198,micro
FINAL_LOCKED_EVALUATION,seasonal_naive,baseline,point,mae,,93.78563411896744,3564,198,micro
FINAL_LOCKED_EVALUATION,seasonal_naive,baseline,point,rmse,,173.38239075269462,3564,198,micro
FINAL_LOCKED_EVALUATION,seasonal_naive,baseline,point,wape,,0.1397697711887405,3564,198,micro
FINAL_LOCKED_EVALUATION,seasonal_naive,baseline,point,mase,,1.5616152031454231,3564,198,micro
FINAL_LOCKED_EVALUATION,ets_aicc,primary,point,mae,,61.4107606468218,3564,198,micro
FINAL_LOCKED_EVALUATION,ets_aicc,primary,point,rmse,,105.00816653245744,3564,198,micro
FINAL_LOCKED_EVALUATION,ets_aicc,primary,point,wape,,0.0915211380161353,3564,198,micro
FINAL_LOCKED_EVALUATION,ets_aicc,primary,point,mase,,0.9622746543795906,3564,198,micro
FINAL_LOCKED_EVALUATION,sarima_aicc,secondary,point,mae,,59.28329252608738,3564,198,micro
FINAL_LOCKED_EVALUATION,sarima_aicc,secondary,point,rmse,,101.151241710556,3564,198,micro
FINAL_LOCKED_EVALUATION,sarima_aicc,secondary,point,wape,,0.0883505486690591,3564,198,micro
FINAL_LOCKED_EVALUATION,sarima_aicc,secondary,point,mase,,0.9648813261259298,3564,198,micro
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,point,mae,,61.102367810369735,3564,198,micro
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,point,rmse,,103.14612930506236,3564,198,micro
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,point,wape,,0.0910615367499918,3564,198,micro
FINAL_LOCKED_EVALUATION,lightgbm_global_full_v1,sensitivity,point,mase,,0.987818671277078,3564,198,micro
DEVELOPMENT,ets_aicc,primary,interval,coverage,0.8,0.803992303992304,4158,198,raw
DEVELOPMENT,ets_aicc,primary,interval,mean_width,0.8,198.5712938958365,4158,198,raw
DEVELOPMENT,ets_aicc,primary,interval,winkler,0.8,284.1086624314686,4158,198,raw
DEVELOPMENT,ets_aicc,primary,interval,upper_miss_rate,0.8,0.0976430976430976,4158,198,raw
DEVELOPMENT,ets_aicc,primary,interval,coverage,0.9,0.9052429052429052,4158,198,raw
DEVELOPMENT,ets_aicc,primary,interval,mean_width,0.9,265.8994118327004,4158,198,raw
DEVELOPMENT,ets_aicc,primary,interval,winkler,0.9,342.8032101197354,4158,198,raw
DEVELOPMENT,ets_aicc,primary,interval,upper_miss_rate,0.9,0.0478595478595478,4158,198,raw
DEVELOPMENT,ets_aicc,primary,interval,coverage,0.95,0.9545454545454546,4158,198,raw
DEVELOPMENT,ets_aicc,primary,interval,mean_width,0.95,329.67248414484976,4158,198,raw
DEVELOPMENT,ets_aicc,primary,interval,winkler,0.95,407.248267274828,4158,198,raw
DEVELOPMENT,ets_aicc,primary,interval,upper_miss_rate,0.95,0.0238095238095238,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,coverage,0.8,0.7970177970177971,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,mean_width,0.8,201.13130530549432,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,winkler,0.8,281.1904997190865,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,upper_miss_rate,0.8,0.1000481000481,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,coverage,0.9,0.9035594035594036,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,mean_width,0.9,263.56959642133336,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,winkler,0.9,342.56351729255044,4158,198,raw
DEVELOPMENT,lightgbm_global_full_v1,sensitivity,interval,upper_miss_rate,0.9,0.0531505531505531,4158,198,raw
