event_id,entity_id,event_timestamp,event_type,source_system,severity_reported,value_amount,entity_type,region,tier,risk_segment_baseline,entity_age_days,prior_events_count,prior_flagged_count,time_since_last_event_hours,hour_of_day,day_of_week,auto_resolved_flag,is_risk_flag,resolution_minutes,analyst_notes_length,confirmed_loss_amount
1,1148,2023-01-01 01:51:00,payment_dispute,web,medium,190.81,vendor,zone_central,plus,low,0,0,0,,1,6,0,0,6.12,66.0,
2,757,2023-01-01 07:21:07,config_change,web,low,180.46,device,zone_central,standard,medium,443,0,0,,7,6,1,0,,,
3,591,2023-01-01 09:13:37,login_anomaly,batch,low,47.51,integration,zone_south,plus,low,695,0,0,,9,6,0,0,29.67,44.0,
4,1442,2023-01-01 09:22:01,payment_dispute,web,medium,20.92,account,zone_south,standard,medium,188,0,0,,9,6,0,0,44.04,38.0,
5,902,2023-01-01 11:38:00,duplicate_transaction,web,low,133.89,account,zone_central,plus,low,366,0,0,,11,6,0,0,27.27,119.0,
6,1083,2023-01-01 12:01:58,data_export,batch,low,342.4,integration,zone_north,plus,low,565,0,0,,12,6,0,0,12.14,75.0,
7,157,2023-01-01 12:55:12,config_change,mobile,medium,119.09,account,zone_south,standard,high,0,0,0,,12,6,0,0,5.0,75.0,
8,1291,2023-01-01 14:26:52,permission_escalation,web,high,49.45,device,zone_central,standard,medium,731,0,0,,14,6,0,0,30.91,51.0,
9,521,2023-01-01 16:06:49,config_change,web,low,61.33,vendor,zone_west,standard,high,728,0,0,,16,6,0,0,19.4,78.0,
10,866,2023-01-01 16:58:30,permission_escalation,api,high,417.88,integration,zone_west,standard,high,703,0,0,,16,6,0,0,48.12,108.0,
11,243,2023-01-01 17:12:20,config_change,web,low,87.8,account,zone_north,enterprise,medium,0,0,0,,17,6,0,0,36.03,74.0,
12,676,2023-01-01 17:16:00,data_export,api,low,202.9,device,zone_east,enterprise,low,290,0,0,,17,6,0,0,48.76,58.0,
13,545,2023-01-01 18:16:05,access_violation,web,high,19.89,account,zone_central,standard,low,0,0,0,,18,6,0,1,15.35,169.0,11.36
14,788,2023-01-01 18:49:01,permission_escalation,mobile,low,35.13,account,zone_west,standard,medium,659,0,0,,18,6,0,0,16.34,80.0,
15,52,2023-01-01 23:00:42,payment_dispute,web,medium,73.02,account,zone_east,standard,medium,0,0,0,,23,6,1,0,,,
16,679,2023-01-02 01:19:17,config_change,api,low,110.03,account,zone_south,standard,low,0,0,0,,1,0,0,0,37.02,15.0,
17,664,2023-01-02 06:24:37,data_export,batch,high,25.15,account,zone_east,plus,low,0,0,0,,6,0,0,0,26.35,90.0,
18,763,2023-01-02 06:28:55,data_export,batch,medium,52.82,account,zone_east,standard,low,652,0,0,,6,0,0,0,38.7,102.0,
19,577,2023-01-02 09:21:15,login_anomaly,batch,low,63.26,integration,zone_central,plus,low,415,0,0,,9,0,0,0,9.38,46.0,
20,488,2023-01-02 11:08:18,config_change,web,high,228.18,account,zone_west,plus,low,0,0,0,,11,0,1,0,,,
21,1360,2023-01-02 11:59:09,access_violation,web,low,127.36,account,zone_east,plus,low,73,0,0,,11,0,0,0,22.42,79.0,
22,427,2023-01-02 14:16:55,config_change,api,low,47.68,account,zone_south,standard,low,0,0,0,,14,0,1,0,,,
23,1195,2023-01-02 14:21:40,payment_dispute,web,low,130.8,vendor,zone_central,standard,medium,0,0,0,,14,0,0,0,29.11,130.0,
24,133,2023-01-02 14:29:58,payment_dispute,web,high,27.5,service,zone_west,standard,low,344,0,0,,14,0,1,0,,,
25,479,2023-01-02 14:49:04,access_violation,api,low,57.88,service,zone_west,enterprise,medium,3,0,0,,14,0,1,0,,,
26,195,2023-01-02 15:06:19,permission_escalation,api,medium,17.62,account,zone_west,plus,low,802,0,0,,15,0,0,0,21.77,30.0,
27,1474,2023-01-02 16:18:08,duplicate_transaction,web,low,77.18,device,zone_central,standard,high,875,0,0,,16,0,0,0,29.78,89.0,
28,757,2023-01-02 16:25:16,login_anomaly,web,medium,181.23,device,zone_central,standard,medium,444,1,0,33.069,16,0,0,0,23.32,83.0,
29,516,2023-01-02 17:11:28,login_anomaly,web,critical,356.26,account,zone_east,plus,low,701,0,0,,17,0,0,0,24.21,105.0,
30,938,2023-01-02 17:17:36,config_change,unknown,low,1077.73,account,zone_west,plus,low,0,0,0,,17,0,0,0,14.11,59.0,
31,1288,2023-01-02 18:55:22,payment_dispute,web,low,18.94,device,zone_east,standard,medium,288,0,0,,18,0,0,0,10.64,94.0,
32,312,2023-01-02 18:56:29,config_change,web,medium,5.72,device,zone_east,enterprise,medium,726,0,0,,18,0,1,0,,,
33,344,2023-01-03 07:24:12,policy_override,batch,low,55.7,service,zone_central,standard,low,133,0,0,,7,1,0,0,18.87,104.0,
34,1197,2023-01-03 09:31:37,login_anomaly,web,low,21.0,account,zone_central,standard,low,173,0,0,,9,1,0,0,23.91,99.0,
35,1410,2023-01-03 10:42:18,login_anomaly,batch,low,55.88,service,zone_east,standard,low,72,0,0,,10,1,1,0,,,
36,1311,2023-01-03 11:17:46,login_anomaly,web,medium,165.89,device,zone_north,standard,low,0,0,0,,11,1,0,0,7.79,116.0,
37,961,2023-01-03 11:23:56,login_anomaly,mobile,medium,23.71,device,zone_central,standard,medium,0,0,0,,11,1,1,0,,,
38,420,2023-01-03 11:32:44,data_export,api,low,57.51,integration,zone_central,enterprise,low,0,0,0,,11,1,1,0,,,
39,1239,2023-01-03 12:20:05,login_anomaly,mobile,medium,106.35,account,zone_west,standard,high,873,0,0,,12,1,0,0,15.25,10.0,
40,864,2023-01-03 13:07:43,config_change,api,medium,45.36,service,zone_central,standard,high,103,0,0,,13,1,0,0,17.09,45.0,
